,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GrLivArea,HalfBath,HasBsmt,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
10,1040,0,0,3,1Fam,906.0,0.0,1.0,0.0,134.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,0,CBlock,1,Typ,384.0,1.0,6.946975992135418,0,1,GasA,Ex,1Story,11,1,TA,Lvl,Gtl,11200,Inside,Reg,0,20,RL,0,2,Sawyer,0,5,5,Y,0,CompShg,Hip,Normal,WD,0,Pave,5,6.946975992135418,AllPub,0,1965,1965,2008
11,1182,1142,0,4,1Fam,998.0,0.0,1.0,0.0,177.0,Y,Norm,Norm,SBrkr,0,TA,Ex,WdShing,Wd Shng,2,PConc,3,Typ,736.0,3.0,7.751045117971802,0,1,GasA,Ex,2Story,12,1,Ex,Lvl,Gtl,11924,Inside,IR1,0,60,RL,0,7,NridgHt,21,5,9,Y,0,CompShg,Hip,Partial,New,0,Pave,11,7.069023426578259,AllPub,147,2005,2006,2006
12,912,0,0,2,1Fam,737.0,0.0,1.0,0.0,175.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,0,CBlock,1,Typ,352.0,1.0,6.815639990074331,0,1,GasA,TA,1Story,13,1,TA,Lvl,Gtl,12968,Inside,IR2,0,20,RL,0,9,Sawyer,0,6,5,Y,0,CompShg,Hip,Normal,WD,176,Pave,4,6.815639990074331,AllPub,140,1962,1962,2008
13,1494,0,0,3,1Fam,0.0,0.0,0.0,0.0,1494.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,840.0,3.0,7.309212365692763,0,1,GasA,Ex,1Story,14,1,Gd,Lvl,Gtl,10652,Inside,IR1,0,20,RL,0,8,CollgCr,33,5,7,Y,0,CompShg,Gable,Partial,New,0,Pave,7,7.309212365692763,AllPub,160,2006,2007,2007
14,1253,0,0,2,1Fam,733.0,0.0,1.0,0.0,520.0,Y,Norm,Norm,SBrkr,176,TA,TA,MetalSd,MetalSd,1,CBlock,1,Typ,352.0,1.0,7.133295954896068,1,1,GasA,TA,1Story,15,1,TA,Lvl,Gtl,10920,Corner,IR1,0,20,RL,0,5,NAmes,213,5,6,Y,0,CompShg,Hip,Normal,WD,0,Pave,5,7.133295954896068,AllPub,0,1960,1960,2008
15,854,0,0,2,1Fam,0.0,0.0,0.0,0.0,832.0,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,0,BrkTil,1,Typ,576.0,2.0,6.74993119378857,0,1,GasA,Ex,1.5Unf,16,1,TA,Lvl,Gtl,6120,Corner,Reg,0,45,RM,0,7,BrkSide,112,8,7,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,6.723832440821209,AllPub,48,1929,2001,2007
16,1004,0,0,2,1Fam,578.0,0.0,1.0,0.0,426.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,1,CBlock,1,Typ,480.0,2.0,6.911747300251674,0,1,GasA,Ex,1Story,17,1,TA,Lvl,Gtl,11241,CulDSac,IR1,0,20,RL,700,3,NAmes,0,7,6,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,6.911747300251674,AllPub,0,1970,1970,2010
17,1296,0,0,2,Duplex,0.0,0.0,0.0,0.0,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,0,Slab,2,Typ,516.0,2.0,7.16703787691222,0,0,GasA,TA,1Story,18,2,TA,Lvl,Gtl,10791,Inside,Reg,0,90,RL,500,10,Sawyer,0,5,4,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,0.0,AllPub,0,1967,1967,2006
18,1114,0,0,3,1Fam,646.0,0.0,1.0,0.0,468.0,Y,RRAe,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,0,PConc,1,Typ,576.0,2.0,7.01571242048723,1,1,GasA,Ex,1Story,19,1,Gd,Lvl,Gtl,13695,Inside,Reg,0,20,RL,0,6,SawyerW,102,5,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,7.01571242048723,AllPub,0,2004,2004,2008
19,1339,0,0,3,1Fam,504.0,0.0,0.0,0.0,525.0,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,Plywood,0,CBlock,1,Min1,294.0,1.0,7.199678345691172,0,1,GasA,TA,1Story,20,1,TA,Lvl,Gtl,7560,Inside,Reg,0,20,RL,0,5,NAmes,0,6,5,Y,0,CompShg,Hip,Abnorml,COD,0,Pave,6,6.9363427358340495,AllPub,0,1958,1965,2009
20,1158,1218,0,4,1Fam,0.0,0.0,0.0,0.0,1158.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,3,Typ,853.0,3.0,7.773173680482536,1,1,GasA,Ex,2Story,21,1,Gd,Lvl,Gtl,14215,Corner,IR1,0,60,RL,0,11,NridgHt,154,5,8,Y,0,CompShg,Gable,Partial,New,0,Pave,9,7.05444965813294,AllPub,240,2005,2006,2006
21,1108,0,0,3,1Fam,0.0,0.0,0.0,0.0,637.0,Y,Norm,Norm,FuseF,205,TA,TA,Wd Sdng,Wd Sdng,1,PConc,1,Typ,280.0,1.0,7.010311867307229,0,1,GasA,Ex,1.5Unf,22,1,Gd,Bnk,Gtl,7449,Inside,Reg,0,45,RM,0,6,IDOTRR,0,7,7,N,0,CompShg,Gable,Normal,WD,0,Pave,6,6.456769655572163,AllPub,0,1930,1950,2007
22,1795,0,0,3,1Fam,0.0,0.0,0.0,0.0,1777.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,534.0,2.0,7.492760300922379,0,1,GasA,Ex,1Story,23,1,Gd,Lvl,Gtl,9742,Inside,Reg,0,20,RL,0,9,CollgCr,159,5,8,Y,0,CompShg,Hip,Normal,WD,0,Pave,7,7.482681828154651,AllPub,171,2002,2002,2008
23,1060,0,0,3,TwnhsE,840.0,0.0,1.0,0.0,200.0,Y,Norm,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,1,PConc,1,Typ,572.0,2.0,6.966024187106113,0,1,GasA,TA,1Story,24,1,TA,Lvl,Gtl,4224,Inside,Reg,0,120,RM,0,6,MeadowV,110,7,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,6.946975992135418,AllPub,100,1976,1976,2007
24,1060,0,0,3,1Fam,188.0,668.0,1.0,0.0,204.0,Y,Norm,Norm,SBrkr,0,Gd,TA,Plywood,Plywood,1,CBlock,1,Typ,270.0,1.0,6.966024187106113,0,1,GasA,Ex,1Story,25,1,Gd,Lvl,Gtl,8246,Inside,IR1,0,20,RL,0,5,Sawyer,90,8,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,6.966024187106113,AllPub,406,1968,2001,2010
25,1600,0,0,3,1Fam,0.0,0.0,0.0,0.0,1566.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,890.0,3.0,7.3777589082278725,0,1,GasA,Ex,1Story,26,1,Gd,Lvl,Gtl,14230,Corner,Reg,0,20,RL,0,7,NridgHt,56,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,7.356279876550748,AllPub,0,2007,2007,2009
26,900,0,0,3,1Fam,234.0,486.0,0.0,1.0,180.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,0,CBlock,1,Typ,576.0,2.0,6.802394763324311,0,1,GasA,TA,1Story,27,1,Gd,Lvl,Gtl,7200,Corner,Reg,0,20,RL,0,5,NAmes,32,7,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,6.802394763324311,AllPub,222,1951,2000,2010
27,1704,0,0,3,1Fam,1218.0,0.0,1.0,0.0,486.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,2,Typ,772.0,3.0,7.440733707389261,0,1,GasA,Ex,1Story,28,1,Gd,Lvl,Gtl,11478,Inside,Reg,0,20,RL,0,5,NridgHt,50,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,7.440733707389261,AllPub,0,2007,2008,2010
28,1600,0,0,2,1Fam,1277.0,0.0,1.0,0.0,207.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,2,CBlock,1,Typ,319.0,1.0,7.3777589082278725,0,1,GasA,TA,1Story,29,1,TA,Lvl,Gtl,16321,CulDSac,IR1,0,20,RL,0,12,NAmes,258,6,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,7.302496423727326,AllPub,288,1957,1997,2006
29,520,0,0,1,1Fam,0.0,0.0,0.0,0.0,520.0,N,Feedr,RRNn,SBrkr,87,TA,TA,MetalSd,MetalSd,0,BrkTil,1,Typ,240.0,1.0,6.253828811575473,0,1,GasA,Fa,1Story,30,1,Fa,Lvl,Gtl,6324,Inside,IR1,0,30,RM,0,5,BrkSide,0,6,4,Y,0,CompShg,Gable,Normal,WD,0,Pave,4,6.253828811575473,AllPub,49,1927,1950,2008
30,649,668,0,3,1Fam,0.0,0.0,0.0,0.0,649.0,N,Feedr,Norm,SBrkr,172,Fa,TA,BrkFace,BrkFace,0,BrkTil,1,Typ,250.0,1.0,7.183111701743281,0,1,GasA,TA,2Story,31,1,TA,Lvl,Gtl,8500,Inside,Reg,0,70,C (all),0,7,IDOTRR,54,4,4,N,0,CompShg,Gambrel,Normal,WD,0,Pave,6,6.47543271670409,AllPub,0,1920,1950,2008
31,1228,0,0,3,1Fam,0.0,0.0,0.0,0.0,1228.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,0,CBlock,1,Typ,271.0,1.0,7.113142108707088,1,1,GasA,Gd,1Story,32,1,Gd,Lvl,Gtl,8544,CulDSac,IR1,0,20,RL,0,6,Sawyer,65,6,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,7.113142108707088,AllPub,0,1966,2006,2008
32,1234,0,0,3,1Fam,0.0,0.0,0.0,0.0,1234.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,0,PConc,2,Typ,484.0,2.0,7.1180162044653335,0,1,GasA,Ex,1Story,33,1,Gd,Lvl,Gtl,11049,Corner,Reg,0,20,RL,0,1,CollgCr,30,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,7.1180162044653335,AllPub,0,2007,2007,2008
33,1700,0,0,4,1Fam,1018.0,0.0,0.0,1.0,380.0,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,1,CBlock,1,Typ,447.0,2.0,7.438383530044307,1,1,GasA,Gd,1Story,34,1,Gd,Lvl,Gtl,10552,Inside,IR1,0,20,RL,0,4,NAmes,38,5,5,Y,0,CompShg,Hip,Normal,WD,0,Pave,6,7.242797922793756,AllPub,0,1959,1959,2010
34,1561,0,0,2,TwnhsE,1153.0,0.0,1.0,0.0,408.0,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,1,PConc,2,Typ,556.0,2.0,7.353081920515432,0,1,GasA,Ex,1Story,35,1,Ex,Lvl,Gtl,7313,Inside,Reg,0,120,RL,0,8,NridgHt,47,5,9,Y,0,CompShg,Hip,Normal,WD,0,Pave,6,7.353081920515432,AllPub,203,2005,2005,2007
35,1132,1320,0,4,1Fam,0.0,0.0,0.0,0.0,1117.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,3,Typ,691.0,3.0,7.804659297056102,1,1,GasA,Ex,2Story,36,1,Gd,Lvl,Gtl,13418,Inside,Reg,0,60,RL,0,9,NridgHt,32,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,9,7.018401799069201,AllPub,113,2004,2005,2006
36,1097,0,0,3,1Fam,0.0,0.0,0.0,0.0,1097.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,0,PConc,1,Typ,672.0,2.0,7.00033446027523,1,1,GasA,Ex,1Story,37,1,TA,Lvl,Gtl,10859,Corner,Reg,0,20,RL,0,6,CollgCr,64,5,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,7.00033446027523,AllPub,392,1994,1995,2009
37,1297,0,0,3,1Fam,1213.0,0.0,0.0,1.0,84.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,1,CBlock,1,Typ,498.0,2.0,7.167809184316444,0,1,GasA,Gd,1Story,38,1,TA,Lvl,Gtl,8532,Inside,Reg,0,20,RL,0,10,NAmes,0,6,5,Y,0,CompShg,Hip,Normal,WD,0,Pave,5,7.167809184316444,AllPub,0,1954,1990,2009
38,1057,0,0,3,1Fam,731.0,0.0,1.0,0.0,326.0,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,0,CBlock,1,Typ,246.0,1.0,6.963189985870238,0,1,GasA,TA,1Story,39,1,Gd,Lvl,Gtl,7922,Inside,Reg,0,20,RL,0,1,NAmes,52,7,5,Y,0,CompShg,Gable,Abnorml,WD,0,Pave,5,6.963189985870238,AllPub,0,1953,2007,2010
39,1152,0,0,2,Duplex,0.0,0.0,0.0,0.0,0.0,N,Norm,Norm,FuseP,0,TA,TA,AsbShng,Plywood,0,PConc,2,Typ,0.0,0.0,7.049254841255837,0,0,GasA,TA,1Story,40,2,Fa,Lvl,Gtl,6040,Inside,Reg,0,90,RL,0,6,Edwards,0,5,4,N,0,CompShg,Gable,AdjLand,WD,0,Pave,6,0.0,AllPub,0,1955,1955,2008
40,1324,0,0,3,1Fam,643.0,0.0,0.0,0.0,445.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,1,CBlock,2,Typ,440.0,2.0,7.188412736496954,0,1,GasA,Ex,1Story,41,1,TA,Lvl,Gtl,8658,Inside,Reg,0,20,RL,0,12,NAmes,138,5,6,Y,0,CompShg,Gable,Abnorml,WD,0,Pave,6,6.992096427415888,AllPub,0,1965,1965,2006
41,1328,0,0,2,1Fam,967.0,0.0,0.0,1.0,383.0,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,2,CBlock,1,Typ,308.0,1.0,7.191429330036379,1,1,GasA,Gd,1Story,42,1,TA,Lvl,Gtl,16905,Inside,Reg,0,20,RL,0,7,Timber,104,6,5,P,0,CompShg,Gable,Normal,WD,0,Pave,5,7.2078598714324755,AllPub,0,1959,1959,2007
42,884,0,0,2,1Fam,747.0,93.0,1.0,0.0,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,0,CBlock,1,Typ,504.0,2.0,6.784457062637643,0,1,GasA,Gd,SFoyer,43,1,Gd,Lvl,Gtl,9180,CulDSac,IR1,0,85,RL,0,12,SawyerW,0,7,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,6.733401891837359,AllPub,240,1983,1983,2007
43,938,0,0,3,1Fam,280.0,491.0,1.0,0.0,167.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,0,CBlock,1,Typ,308.0,1.0,6.843749949006225,0,1,GasA,TA,1Story,44,1,TA,Lvl,Gtl,9200,CulDSac,IR1,0,20,RL,0,7,CollgCr,0,6,5,Y,0,CompShg,Hip,Normal,WD,0,Pave,5,6.843749949006225,AllPub,145,1975,1980,2008
44,1150,0,0,3,1Fam,179.0,506.0,1.0,0.0,465.0,Y,Norm,Norm,FuseA,0,TA,TA,BrkFace,Wd Sdng,0,CBlock,1,Typ,300.0,1.0,7.047517221357296,0,1,GasA,Ex,1Story,45,1,TA,Lvl,Gtl,7945,Inside,Reg,0,20,RL,0,5,NAmes,0,6,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,7.047517221357296,AllPub,0,1959,1959,2006
45,1752,0,0,2,TwnhsE,456.0,0.0,1.0,0.0,1296.0,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,1,PConc,2,Typ,576.0,2.0,7.468513271496337,0,1,GasA,Ex,1Story,46,1,Ex,Lvl,Gtl,7658,Inside,Reg,0,120,RL,0,2,NridgHt,82,5,9,Y,0,CompShg,Hip,Normal,WD,0,Pave,6,7.468513271496337,AllPub,196,2005,2005,2010
46,1518,631,0,1,1Fam,1351.0,0.0,1.0,0.0,83.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,1,PConc,1,Typ,670.0,2.0,7.67275789664251,1,1,GasA,Ex,1.5Fin,47,1,Gd,Lvl,Gtl,12822,CulDSac,IR1,0,50,RL,0,8,Mitchel,43,5,7,Y,0,CompShg,Gable,Abnorml,WD,198,Pave,6,7.2682230211595655,AllPub,168,2003,2003,2009
47,1656,0,0,3,1Fam,24.0,0.0,0.0,0.0,1632.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,0,PConc,2,Typ,826.0,3.0,7.412160334945205,0,1,GasA,Ex,1Story,48,1,Gd,Lvl,Gtl,11096,Inside,Reg,0,20,FV,0,7,Somerst,146,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,7.412160334945205,AllPub,0,2006,2006,2007
48,736,716,0,2,2fmCon,0.0,0.0,0.0,0.0,736.0,Y,Norm,Norm,SBrkr,102,TA,TA,MetalSd,MetalSd,0,BrkTil,2,Typ,0.0,0.0,7.280697195384741,0,1,GasA,Gd,2Story,49,3,TA,Lvl,Gtl,4456,Inside,Reg,0,190,RM,0,6,OldTown,0,5,4,N,0,CompShg,Gable,Partial,New,0,Pave,8,6.601230118728877,AllPub,0,1920,2008,2009
49,955,0,0,3,1Fam,763.0,0.0,1.0,0.0,192.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,0,CBlock,1,Typ,386.0,1.0,6.86171134048073,0,1,GasA,Ex,1Story,50,1,TA,Lvl,Gtl,7742,Inside,Reg,0,20,RL,0,1,Sawyer,0,7,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,6.86171134048073,AllPub,0,1966,1966,2007
50,794,676,0,3,1Fam,182.0,0.0,0.0,1.0,612.0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,0,PConc,2,Typ,388.0,2.0,7.293017679772782,0,1,GasA,Gd,2Story,51,1,TA,Lvl,Gtl,13869,Corner,IR2,0,60,RL,0,7,Gilbert,75,6,6,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,6.677083461247136,AllPub,0,1997,1997,2007
51,816,0,0,3,1Fam,0.0,0.0,0.0,0.0,816.0,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,1,PConc,1,Typ,528.0,2.0,7.069874128458572,0,1,GasA,TA,1.5Fin,52,1,TA,Lvl,Gtl,6240,Inside,Reg,360,50,RM,400,9,BrkSide,0,6,6,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,6.704414354964107,AllPub,112,1934,1950,2006
52,816,0,0,2,Duplex,104.0,712.0,1.0,0.0,0.0,N,RRNn,Norm,SBrkr,0,TA,Fa,Wd Sdng,Wd Sdng,0,CBlock,1,Typ,516.0,2.0,6.704414354964107,0,1,GasA,TA,1Story,53,1,TA,Bnk,Mod,8472,Corner,IR2,0,90,RM,0,5,IDOTRR,0,5,5,Y,0,CompShg,Gable,Normal,WD,0,Grvl,5,6.704414354964107,AllPub,106,1963,1963,2010
53,1842,0,0,0,1Fam,1810.0,0.0,2.0,0.0,32.0,Y,Norm,Norm,SBrkr,0,TA,Gd,WdShing,Wd Shng,1,CBlock,0,Typ,894.0,3.0,7.518607216815252,1,1,GasA,Gd,1Story,54,1,Gd,Low,Gtl,50271,Inside,IR1,0,20,RL,0,11,Veenker,72,5,9,Y,0,WdShngl,Gable,Normal,WD,0,Pave,5,7.518607216815252,AllPub,857,1981,1987,2006
54,1360,0,0,3,1Fam,384.0,0.0,0.0,0.0,0.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,1,CBlock,1,Min1,572.0,2.0,7.215239978730097,0,1,GasA,TA,SLvl,55,1,TA,Bnk,Mod,7134,Inside,Reg,0,80,RL,0,2,NAmes,50,5,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,5.950642552587727,AllPub,0,1955,1955,2007
55,1425,0,407,3,1Fam,490.0,0.0,0.0,0.0,935.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,Plywood,1,CBlock,2,Typ,576.0,2.0,7.261927092702751,0,1,GasA,Gd,1Story,56,1,TA,Lvl,Gtl,10175,Inside,IR1,0,20,RL,0,7,NAmes,0,5,6,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,7.261927092702751,AllPub,0,1964,1964,2008
56,983,756,0,3,Twnhs,649.0,0.0,1.0,0.0,321.0,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,0,PConc,2,Typ,480.0,2.0,7.461065514354283,1,1,GasA,Ex,2Story,57,1,Gd,Lvl,Gtl,2645,Inside,Reg,0,160,FV,0,8,Somerst,0,5,8,Y,0,CompShg,Gable,Abnorml,WD,0,Pave,7,6.877296071497429,AllPub,115,1999,2000,2009
57,860,860,0,3,1Fam,0.0,0.0,0.0,0.0,860.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,0,PConc,2,Typ,565.0,2.0,7.450079569807499,1,1,GasA,Ex,2Story,58,1,Gd,Lvl,Gtl,11645,Corner,IR1,0,60,RL,0,8,CollgCr,70,5,7,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,6.756932389247553,AllPub,0,2004,2004,2006
